image_name,Spacing (CoV),Baseline Variation,Fluency (px/stroke),Stroke Breaks,Smoothness (roughness),cluster
001.jpg,0.91737704,56.34191174,38.78947368,25.78018995,75.42297363,1
002.jpg,0.807252349,53.63268214,31.83606557,31.41091656,71.29852295,0
003.jpg,0.906920875,45.78661078,28.84722222,34.66538275,79.23614502,0
004.jpg,0.871707244,49.42016422,22.78873239,43.88133495,67.09625244,0
005.jpg,0.766930493,43.27388787,24.68518519,40.5101275,49.96032715,2
006.jpg,1.059654699,44.84910338,35.27586207,28.34799608,76.0144043,0
007.jpg,0.969168566,46.49790696,30.5862069,32.69447574,64.20135498,0
008.jpg,0.769217461,51.52092479,27.52631579,36.32887187,58.9251709,0
009.jpg,0.958194402,54.26679389,48.1025641,20.78891257,71.68762207,1
010.jpg,0.931086524,47.33851995,48.76923077,20.50473185,65.39978027,1
011.jpg,1.015094871,42.83248086,32.26785714,30.99059212,68.06121826,0
012.jpg,0.980984825,50.44160709,28.84375,34.66955578,69.07287598,0
013.jpg,0.963208106,47.8339539,28.05,35.65062386,66.36474609,0
014.jpg,0.878929101,46.27304429,26.88333333,37.19776811,64.60601807,0
015.jpg,0.821821355,39.05695653,29.26666667,34.1685649,68.03009033,0
016.jpg,0.824307329,47.53437435,30.31914894,32.98245612,61.21307373,0
017.jpg,0.83512837,49.01563775,28.79245283,34.7313237,62.24029541,0
018.jpg,0.816107431,40.17600501,29.19230769,34.25559945,58.33374023,0
019.jpg,0.766733071,38.19474031,26.81132075,37.29767767,52.93304443,0
020.jpg,0.794007856,41.13084192,28.01587302,35.69405097,68.37249756,0
021.jpg,0.902643064,53.17586834,33.14516129,30.17031629,74.73815918,0
022.jpg,0.834219641,49.72218609,34.66037736,28.85138812,63.96789551,0
023.jpg,0.917040611,54.87294273,29.3030303,34.12616337,69.21295166,0
024.jpg,0.936653647,41.29286186,30.3030303,32.99999998,76.48132324,1
025.jpg,0.955844199,56.17810038,36.45614035,27.43022135,71.15844727,1
026.jpg,0.916006035,47.33091274,22.32394366,44.79495265,69.18182373,0
027.jpg,0.796107309,51.17847231,35.06666667,28.51711025,63.85894775,0
028.jpg,0.87723201,32.32798477,21.77272727,45.92901874,43.79699707,0
029.jpg,0.883883476,41.16734016,28.36206897,35.25835864,64.24804688,2
030.jpg,0.972552237,38.28044085,28.50819672,35.0776308,62.39593506,0
031.jpg,0.894437141,40.52224932,27.74509804,36.0424028,53.41552734,0
032.jpg,0.833839846,57.32185855,32.75384615,30.5307656,81.80419922,1
033.jpg,1.097127286,43.43593361,38,26.31578946,71.59423828,0
034.jpg,0.89989932,51.22037931,37.36363636,26.76399025,72.34130859,1
035.jpg,0.772918801,50.02082997,30.90909091,32.35294116,65.24414063,0
036.jpg,0.898213267,41.04314028,26.95081967,37.10462285,65.19744873,0
037.jpg,1.014998632,56.16234232,29.44262295,33.96436524,65.63323975,0
038.jpg,0.97726655,55.64026442,35.78571429,27.94411177,86.72241211,0
039.jpg,1.043888075,49.90664384,25.4025974,39.36605315,84.90142822,0
040.jpg,0.827945756,46.95094884,27.14285714,36.84210524,75.703125,0
041.jpg,0.831892683,43.72668432,24.04761905,41.58415839,62.95623779,0
042.jpg,0.815312765,46.20085039,29.13559322,34.32228038,65.2130127,0
043.jpg,0.959301111,51.82260901,34.86567164,28.68150684,80.62133789,1
044.jpg,0.813217261,45.99187163,23.48051948,42.58849555,75.73425293,2
045.jpg,0.795211726,41.34609371,35.29824561,28.33001987,72.09228516,1
046.jpg,0.952756695,56.74114429,41.21311475,24.26412091,88.26324463,1
047.jpg,0.985839382,42.3709441,30.68085106,32.59361995,58.70727539,1
048.jpg,1.079757098,48.58078655,31.10714286,32.1469575,65.15075684,0
049.jpg,0.739917643,37.15906955,27.90163934,35.84018799,65.05737305,0
050.jpg,0.756766484,53.54292556,30.28070175,33.0243337,68.65264893,0
051.jpg,1.011834731,53.68603044,24.36470588,41.04297439,85.46173096,0
052.jpg,0.654373104,53.9188578,42.69387755,23.42256213,73.02612305,1
053.jpg,0.812760419,49.47625306,33.42622951,29.91662578,70.66040039,0
054.jpg,1.122411339,39.9387593,27.36986301,36.53653652,78.36456299,0
055.jpg,0.856414083,39.92966955,27.39655172,36.50094397,61.88232422,0
056.jpg,0.849577133,39.20447511,30.33802817,32.96193128,77.58636475,0
057.jpg,1.018724259,54.28441194,26.43661972,37.82631857,74.13116455,0
058.jpg,0.98405007,39.70419596,19.55294118,51.14320093,78.36456299,0
059.jpg,1.071357152,46.3016209,38.05405405,26.27840908,91.78070068,0
060.jpg,0.782340037,40.95292631,34.67241379,28.84137244,71.04949951,0
061.jpg,0.892458259,42.1090799,36.78333333,27.18622563,79.40734863,0
062.jpg,0.897338698,32.92327121,35.24590164,28.37209301,75.90545654,0
063.jpg,0.90065436,59.22881698,32.90163934,30.39362231,73.08837891,1
064.jpg,0.865751516,40.63899943,36.36065574,27.50225427,80.69915771,0
065.jpg,0.756150346,41.81443888,23.33333333,42.85714283,70.17791748,0
066.jpg,0.907153596,51.78969113,28.12903226,35.5504587,66.78497314,0
067.jpg,1.100944277,42.87729383,23.72131148,42.15618518,65.60211182,0
068.jpg,1.125865754,45.29655802,30.87755102,32.38598808,55.81237793,0
069.jpg,0.933973357,48.30066796,24.96428571,40.05722458,53.22875977,0
070.jpg,0.725653574,40.74858821,21.87878788,45.70637116,62.84729004,0
071.jpg,0.9395249,38.46594788,30.8,32.46753244,59.70336914,0
072.jpg,0.75929109,39.51167754,25.20895522,39.66844284,68.03009033,0
073.jpg,1.033768757,44.65682866,25.98305085,38.4866275,56.91741943,0
074.jpg,0.928414704,41.01682954,28.16666667,35.50295856,59.765625,0
075.jpg,0.853692386,44.93320694,29.64705882,33.73015871,59.60998535,0
076.jpg,0.873311864,51.27229263,29.02777778,34.44976075,76.91711426,0
077.jpg,0.923176663,42.30384135,29.51851852,33.87703887,61.4932251,0
078.jpg,1.074664163,36.02366325,34.64615385,28.86323267,80.46569824,0
079.jpg,1.090429235,35.21723227,24.59701493,40.65533978,66.76940918,0
080.jpg,0.844620053,40.98534252,34.93939394,28.62098871,83.90533447,0
081.jpg,1.038327983,54.89524691,31.95774648,31.29131775,85.95977783,1
082.jpg,0.935774403,42.94182235,27.18032787,36.79131481,65.18188477,0
083.jpg,0.999912652,46.0109867,26.77777778,37.34439831,61.32202148,0
084.jpg,1.004299862,46.03432475,31.65957447,31.58602148,55.01861572,0
085.jpg,0.84855528,34.74076378,34.04166667,29.37576498,58.70727539,0
086.jpg,0.815223349,51.13927602,26.52941176,37.69401328,74.33349609,0
087.jpg,1.146984643,55.01261655,30.67741935,32.59726602,67.14294434,1
088.jpg,1.027213707,40.58250933,24.56701031,40.70499369,91.74957275,0
089.jpg,0.811491293,43.78278034,29.72413793,33.6426914,62.00683594,0
090.jpg,0.868660706,47.61637023,37.61363636,26.5861027,59.85900879,0
091.jpg,1.215217495,39.80681406,32.10769231,31.14518446,80.66802979,0
092.jpg,0.962780923,39.18223745,32.85714286,30.43478259,65.86669922,0
093.jpg,0.765381063,53.23432063,36.03030303,27.75441546,87.43835449,1
094.jpg,0.805630986,53.59399485,28.18965517,35.47400609,61.29089355,0
095.jpg,0.804926707,44.61686813,27.61538462,36.21169914,58.10028076,0
096.jpg,0.930374669,42.11395783,31.18965517,32.06191264,65.13519287,0
097.jpg,0.709781749,44.99456906,41.13793103,24.30846604,80.34118652,0
098.jpg,0.962367399,51.53799861,26.74137931,37.39522886,64.34143066,0
099.jpg,0.984261788,44.4587455,33.32835821,30.00447827,81.02600098,0
1.jpg,0.917318144,42.2440728,96.38636364,10.37491158,142.7371216,1
10.jpg,0.802267842,17.42941706,41.36170213,24.17695472,70.20904541,2
100.jpg,0.997043773,40.36453295,34.93442623,28.62505864,79.12719727,0
101.jpg,0.919156605,43.47866495,27.71428571,36.0824742,59.98352051,0
102.jpg,1.001417331,42.78492605,30.24528302,33.06300684,66.13128662,0
103.jpg,0.778747486,43.35511356,32.50819672,30.7614725,69.78881836,0
104.jpg,0.794384581,52.54204358,28.56451613,35.00846977,72.63702393,0
105.jpg,0.869360952,44.35619666,37.36585366,26.76240207,53.22875977,0
106.jpg,0.857538952,51.72183488,34.80645161,28.73030583,79.74975586,0
107.jpg,0.988827369,34.22755796,28.31666667,35.31489109,71.01837158,0
108.jpg,0.996369921,48.88920569,32.33333333,30.92783503,59.62554932,0
109.jpg,0.820634958,42.53263405,20.45454545,48.88888885,59.28314209,0
11.jpg,0.983788336,68.97094412,50.6875,19.72872996,178.5809326,1
110.jpg,0.782702514,40.76914862,28.36538462,35.25423726,62.3336792,0
111.jpg,0.783880147,47.99981009,29.22916667,34.21240197,51.28326416,0
112.jpg,0.845210297,45.491334,27.81632653,35.95011002,56.41937256,0
113.jpg,0.709515624,59.63787815,32.16176471,31.0928212,87.57843018,1
114.jpg,0.788031244,49.96489431,35.875,27.87456445,91.54724121,1
115.jpg,0.955195374,37.36591286,25.12,39.80891718,77.27508545,0
116.jpg,0.973009057,44.08026717,29.98076923,33.35471454,59.34539795,0
117.jpg,0.890425508,39.57073402,20.265625,49.34464144,57.18200684,0
118.jpg,0.795278052,53.65261242,29.27777778,34.1555977,59.31427002,0
119.jpg,1.069022814,42.60029475,26.48076923,37.76325342,56.46606445,0
12.jpg,1.012035849,81.3167342,239.2,4.180602006,146.0055542,2
120.jpg,0.736693324,44.82750436,36.54901961,27.36051501,69.10400391,0
121.jpg,0.807930663,50.91858556,27.88,35.86800571,59.65667725,0
122.jpg,1.108809438,45.53946697,30.02083333,33.31020123,60.40374756,0
123.jpg,0.8810809,50.19018386,32.82352941,30.4659498,63.59436035,0
124.jpg,0.95209173,54.96007552,29.21666667,34.22703934,67.06512451,0
125.jpg,0.952134452,50.07321049,33.68965517,29.68270213,71.54754639,0
126.jpg,1.012703185,46.95575454,30.70833333,32.56445046,81.63299561,0
127.jpg,0.890599326,59.29450649,28.51219512,35.0727117,85.83526611,1
128.jpg,1.035579646,46.90292156,40.54545455,24.66367712,67.54760742,1
129.jpg,0.951570769,43.08591253,31.1641791,32.08812259,76.06109619,0
13.jpg,0.855047905,41.44066026,28.12711864,35.55287736,157.9742432,2
130.jpg,1.010461963,47.53246075,30.7826087,32.48587569,75.08056641,0
131.jpg,0.799377608,48.65837828,33.98387097,29.42572376,75.68756104,0
132.jpg,0.968506383,44.31111905,36.74626866,27.21364743,80.24780273,0
133.jpg,0.929302003,47.14207282,39.57142857,25.2707581,57.82012939,0
134.jpg,1.039296559,36.92223867,31.60784314,31.6377171,58.44268799,0
135.jpg,0.975364438,50.66010787,30.49090909,32.79666068,65.61767578,0
136.jpg,0.907460776,35.53864977,25.70833333,38.897893,50.14709473,0
137.jpg,0.985705268,58.94969158,33.5,29.85074625,77.86651611,1
138.jpg,1.071977275,57.37459055,29.60869565,33.77386195,79.79644775,1
139.jpg,0.96020824,58.85944782,38.40983607,26.03499785,79.93652344,1
14.jpg,0.975243733,58.14778709,70.3452381,14.21560331,188.4796143,2
140.jpg,0.738781191,38.34314069,28.11428571,35.56910567,71.37634277,0
141.jpg,1.004228141,58.44295948,32.71875,30.56351479,76.32568359,1
142.jpg,1.024841451,53.87315746,41.76271186,23.94480519,86.87805176,1
143.jpg,0.945736364,44.7198159,25.41237113,39.35091276,93.25927734,0
144.jpg,1.125697902,45.20555397,26.92941176,37.13411969,91.36047363,0
145.jpg,0.862082502,60.97656932,40.96825397,24.40914373,79.25170898,1
146.jpg,0.878648701,48.20577513,42.63934426,23.45251825,88.68347168,1
147.jpg,1.242986235,35.25014706,20.60493827,48.53205509,78.02215576,0
148.jpg,0.889620265,46.69567123,28.38461538,35.23035228,57.01080322,0
149.jpg,0.85474186,40.8925635,18.75471698,53.31991946,43.2989502,0
15.jpg,1.066147832,47.31449152,141.3809524,7.07308858,110.0061035,2
150.jpg,0.881809964,50.26721895,27.5,36.36363634,72.91717529,0
151.jpg,1.105272518,52.93959499,32.51612903,30.75396824,77.92877197,1
152.jpg,0.974638478,56.75616974,31.78125,31.4650934,72.76153564,1
153.jpg,0.88927064,58.17255425,30.55555556,32.72727271,63.59436035,0
154.jpg,0.820591045,35.2937981,31.55357143,31.69213354,63.96789551,0
155.jpg,0.921138646,54.48527525,35.51666667,28.15579539,68.20129395,1
156.jpg,0.82487451,51.20461882,26.98529412,37.05722069,72.38800049,0
157.jpg,0.828504711,41.70633524,17.76521739,56.28976992,87.43835449,0
158.jpg,0.848639442,50.33331126,28.234375,35.41781957,70.08453369,0
159.jpg,0.752756135,32.90246832,21.68852459,46.10733179,54.44274902,0
16.jpg,1.032971516,49.77494172,27.08333333,36.92307691,115.4534912,2
160.jpg,0.929588511,41.76293799,23.55128205,42.46053346,73.29071045,0
161.jpg,0.731199471,40.51874912,34.23529412,29.20962198,67.22076416,0
162.jpg,0.904926075,49.46655797,26.80357143,37.308461,58.86291504,0
163.jpg,0.871616812,43.81551892,32.94827586,30.35060176,61.77337646,0
164.jpg,1.011897228,51.44123717,32.06666667,31.18503117,71.25183105,0
165.jpg,0.98706258,53.47397814,34.62295082,28.88257574,71.37634277,1
166.jpg,0.880186262,56.42949359,39.25806452,25.47247328,85.16601563,1
167.jpg,0.880186262,56.42949359,39.25806452,25.47247328,85.16601563,1
168.jpg,0.967021404,57.50284955,32.78688525,30.49999998,68.8394165,1
169.jpg,0.830885009,53.2107148,32.80952381,30.47895499,73.04168701,0
17.jpg,1.054618371,36.43191069,14.76211454,67.74097282,192.5418091,0
170.jpg,0.759380998,53.06460033,31.34920635,31.89873416,72.90161133,0
171.jpg,0.926784763,50.5658032,32.50684932,30.76274756,82.75360107,0
172.jpg,0.90212177,58.95198448,33.94202899,29.46199828,86.42669678,1
173.jpg,1.084071183,57.52419298,32.75,30.53435113,73.83544922,1
174.jpg,0.904926075,49.46655797,26.80357143,37.308461,58.86291504,0
175.jpg,0.94150264,50.29036403,24.57647059,40.68932502,85.58624268,0
176.jpg,0.743541346,43.89439861,33.76,29.62085306,64.49707031,0
177.jpg,1.022267168,59.54608602,41.60784314,24.03393024,74.56695557,1
178.jpg,0.934349101,51.09579257,33.33333333,29.99999998,63.59436035,0
179.jpg,0.816610649,51.43569673,34.18644068,29.2513634,71.36077881,0
18.jpg,1.580407656,76.21619871,293.4375,3.407880723,157.0559692,2
180.jpg,0.975425,44.25911906,31.6547619,31.59082361,93.43048096,0
181.jpg,0.910081357,34.0033132,34.40740741,29.06350913,64.45037842,0
182.jpg,0.936860899,43.67991726,15.71641791,63.62773026,93.22814941,0
183.jpg,0.909318303,52.22338989,36.05263158,27.73722627,94.69116211,1
184.jpg,0.760283328,35.83817094,23.46428571,42.61796039,52.52838135,0
185.jpg,0.940845735,43.89347147,33.4,29.94011975,77.24395752,0
186.jpg,0.962403165,43.99775127,27.36986301,36.53653652,80.31005859,0
187.jpg,0.833580939,42.29212122,34.5,28.98550723,78.5357666,0
188.jpg,0.805749008,38.53519204,26.3559322,37.94212216,63.62548828,0
189.jpg,0.962523079,39.31333055,30.36842105,32.92894279,86.90917969,0
19.jpg,0.951474172,30.02852747,43.96341463,22.74618585,133.1808472,2
190.jpg,0.889303818,56.45147671,34.09836066,29.32692306,75.92102051,1
191.jpg,0.993501686,36.76064846,20.5,48.78048778,78.81591797,0
192.jpg,0.922027111,61.9798197,34.32142857,29.13631632,69.22851563,1
193.jpg,1.263883934,50.83003156,37.12280702,26.93761813,81.49291992,1
194.jpg,0.78424177,51.85661777,44.39130435,22.52693437,71.48529053,1
195.jpg,1.004166524,46.71145693,27.72058824,36.07427054,71.68762207,0
196.jpg,0.929343855,52.89198605,28.34567901,35.27874563,90.4888916,0
197.jpg,0.948794885,45.88924116,24.68965517,40.50279328,89.71069336,0
198.jpg,0.986619398,54.17465168,32.66101695,30.6175402,70.81604004,1
199.jpg,1.008558418,32.31354608,29.24657534,34.19203745,78.36456299,0
2.jpg,1.165766849,43.67096276,325.2777778,3.074295473,211.8566895,2
20.jpg,1.047898808,42.81690574,52.34666667,19.10341314,156.1532593,1
200.jpg,0.904556441,37.14592508,28.79245283,34.7313237,59.28314209,0
201.jpg,0.822759829,43.8121049,28.475,35.11852501,88.1854248,0
202.jpg,0.947718613,46.96963234,34.91803279,28.63849764,81.44622803,0
203.jpg,1.027028975,60.57150997,31.30769231,31.94103193,80.66802979,1
204.jpg,0.951804619,45.0790783,28.71186441,34.82880754,66.53594971,0
205.jpg,0.987350551,48.46331505,34.05,29.36857561,71.31408691,0
206.jpg,1.084200525,59.4045446,47,21.27659574,92.63671875,1
207.jpg,0.956494873,51.33432586,32.39344262,30.87044533,68.38806152,0
208.jpg,0.994215463,60.47752006,38.96226415,25.66585955,69.16625977,1
209.jpg,1.06572311,51.13642438,31.75438596,31.49171269,68.40362549,0
21.jpg,1.089956335,64.13905002,28.29323308,35.3441403,141.5231323,0
210.jpg,0.922016762,50.48635452,29.77777778,33.58208953,66.41143799,0
211.jpg,0.995807109,37.48833834,30.1884058,33.12530003,79.78088379,0
212.jpg,1.024569668,47.74003364,24.92,40.12841089,79.71862793,0
213.jpg,0.974689132,51.11883734,30.10666667,33.21523471,84.52789307,0
214.jpg,0.911641921,52.12280273,32.36507937,30.89749876,72.65258789,0
215.jpg,0.871670666,43.47437476,30.83950617,32.42594074,97.8817749,0
216.jpg,1.1809149,49.3052257,39.54929577,25.28490028,92.527771,1
217.jpg,0.876553776,49.44316444,36.77272727,27.19406674,89.71069336,1
218.jpg,0.791485963,59.35194074,45.08333333,22.18114602,90.42663574,1
